SUBJECT,OBJECT
http://af.dbpedia.org/resource/Ster,http://am.dbpedia.org/resource/ኮኮብ
http://af.dbpedia.org/resource/Ster,http://an.dbpedia.org/resource/Estrela
http://af.dbpedia.org/resource/Ster,http://ar.dbpedia.org/resource/نجم
http://af.dbpedia.org/resource/Ster,http://arz.dbpedia.org/resource/نجمه
http://af.dbpedia.org/resource/Ster,http://ast.dbpedia.org/resource/Estrella
http://af.dbpedia.org/resource/Ster,http://az.dbpedia.org/resource/Ulduz
http://af.dbpedia.org/resource/Ster,http://bat-smg.dbpedia.org/resource/Žvaiždie
http://af.dbpedia.org/resource/Ster,http://be-x-old.dbpedia.org/resource/Зорка
http://af.dbpedia.org/resource/Ster,http://be.dbpedia.org/resource/Зорка
http://af.dbpedia.org/resource/Ster,http://bg.dbpedia.org/resource/Звезда
http://af.dbpedia.org/resource/Ster,http://bn.dbpedia.org/resource/তারা
http://af.dbpedia.org/resource/Ster,http://br.dbpedia.org/resource/Steredenn
http://af.dbpedia.org/resource/Ster,http://bs.dbpedia.org/resource/Zvijezda
http://af.dbpedia.org/resource/Ster,http://ca.dbpedia.org/resource/Estrella
http://af.dbpedia.org/resource/Ster,http://ckb.dbpedia.org/resource/ئەستێرە
http://af.dbpedia.org/resource/Ster,http://cs.dbpedia.org/resource/Hvězda
http://af.dbpedia.org/resource/Ster,http://cv.dbpedia.org/resource/Çăлтăр
http://af.dbpedia.org/resource/Ster,http://cy.dbpedia.org/resource/Seren
http://af.dbpedia.org/resource/Ster,http://da.dbpedia.org/resource/Stjerne
http://af.dbpedia.org/resource/Ster,http://dbpedia.org/resource/Star
http://af.dbpedia.org/resource/Ster,http://de.dbpedia.org/resource/Stern
http://af.dbpedia.org/resource/Ster,http://el.dbpedia.org/resource/Αστέρας
http://af.dbpedia.org/resource/Ster,http://eo.dbpedia.org/resource/Stelo
http://af.dbpedia.org/resource/Ster,http://es.dbpedia.org/resource/Estrella
http://af.dbpedia.org/resource/Ster,http://et.dbpedia.org/resource/Täht_(astronoomia)
