SUBJECT,OBJECT
http://af.dbpedia.org/resource/Pous_Stefanus_(II),"http://be.dbpedia.org/resource/Стэфан_II,_Папа_Рымскі"
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://bg.dbpedia.org/resource/Стефан_II_(избран_за_папа)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://ca.dbpedia.org/resource/Papa_Esteve
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://dbpedia.org/resource/Pope-elect_Stephen
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://de.dbpedia.org/resource/Stephan_(II.)_(Papst)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),"http://el.dbpedia.org/resource/Στέφανος,_εκλεγμένος_Πάπας"
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://eo.dbpedia.org/resource/Stefano_la_2-a_(kontraŭpapo)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://es.dbpedia.org/resource/Esteban_II_(papa_efímero)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://et.dbpedia.org/resource/Stephanus_II_(paavstiks_valitu)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://fa.dbpedia.org/resource/استفان_(پاپ)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://fr.dbpedia.org/resource/Étienne_(pape_éphémère)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),"http://gl.dbpedia.org/resource/Estevo_II,_papa"
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://he.dbpedia.org/resource/האפיפיור_הנבחר_סטפנוס
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://he.dbpedia.org/resource/סטפנוס_השני
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://hr.dbpedia.org/resource/Stjepan_(II.)
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://hu.dbpedia.org/resource/II._István_pápa
http://af.dbpedia.org/resource/Pous_Stefanus_(II),http://it.dbpedia.org/resource/Papa_Stefano_(eletto)
