SUBJECT,OBJECT
http://af.dbpedia.org/resource/Sacramento,http://an.dbpedia.org/resource/Sacramento_(California)
http://af.dbpedia.org/resource/Sacramento,http://ar.dbpedia.org/resource/ساكرامنتو،_كاليفورنيا
http://af.dbpedia.org/resource/Sacramento,http://ast.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://az.dbpedia.org/resource/Sakramento
http://af.dbpedia.org/resource/Sacramento,http://bat-smg.dbpedia.org/resource/Sakraments_(Kalifornėjė)
http://af.dbpedia.org/resource/Sacramento,http://be.dbpedia.org/resource/Горад_Сакрамента
http://af.dbpedia.org/resource/Sacramento,http://bg.dbpedia.org/resource/Сакраменто
http://af.dbpedia.org/resource/Sacramento,http://br.dbpedia.org/resource/Sacramento_(Kalifornia)
http://af.dbpedia.org/resource/Sacramento,http://bs.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://ca.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://cs.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://cy.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://da.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,"http://dbpedia.org/resource/Sacramento,_California"
http://af.dbpedia.org/resource/Sacramento,http://de.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://el.dbpedia.org/resource/Σακραμέντο_(Καλιφόρνια)
http://af.dbpedia.org/resource/Sacramento,http://eo.dbpedia.org/resource/Sakramento_(Kalifornio)
http://af.dbpedia.org/resource/Sacramento,http://es.dbpedia.org/resource/Sacramento_(California)
http://af.dbpedia.org/resource/Sacramento,http://et.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://eu.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://fa.dbpedia.org/resource/ساکرامنتو
http://af.dbpedia.org/resource/Sacramento,http://fi.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://fr.dbpedia.org/resource/Sacramento
http://af.dbpedia.org/resource/Sacramento,http://fy.dbpedia.org/resource/Sakraminto_(Kalifornje)
http://af.dbpedia.org/resource/Sacramento,http://ga.dbpedia.org/resource/Sacramento
