SUBJECT,OBJECT,LABEL
http://af.dbpedia.org/resource/Sacramento,http://an.dbpedia.org/resource/Sacramento_(California),k
http://af.dbpedia.org/resource/Sacramento,http://ar.dbpedia.org/resource/ساكرامنتو،_كاليفورنيا,k
http://af.dbpedia.org/resource/Sacramento,http://ast.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://az.dbpedia.org/resource/Sakramento,k
http://af.dbpedia.org/resource/Sacramento,http://bat-smg.dbpedia.org/resource/Sakraments_(Kalifornėjė),k
http://af.dbpedia.org/resource/Sacramento,http://be.dbpedia.org/resource/Горад_Сакрамента,k
http://af.dbpedia.org/resource/Sacramento,http://bg.dbpedia.org/resource/Сакраменто,k
http://af.dbpedia.org/resource/Sacramento,http://br.dbpedia.org/resource/Sacramento_(Kalifornia),k
http://af.dbpedia.org/resource/Sacramento,http://bs.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://ca.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://cs.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://cy.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://da.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,"http://dbpedia.org/resource/Sacramento,_California",k
http://af.dbpedia.org/resource/Sacramento,http://de.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://el.dbpedia.org/resource/Σακραμέντο_(Καλιφόρνια),k
http://af.dbpedia.org/resource/Sacramento,http://eo.dbpedia.org/resource/Sakramento_(Kalifornio),k
http://af.dbpedia.org/resource/Sacramento,http://es.dbpedia.org/resource/Sacramento_(California),k
http://af.dbpedia.org/resource/Sacramento,http://et.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://eu.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://fa.dbpedia.org/resource/ساکرامنتو,k
http://af.dbpedia.org/resource/Sacramento,http://fi.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://fr.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,http://fy.dbpedia.org/resource/Sakraminto_(Kalifornje),k
http://af.dbpedia.org/resource/Sacramento,http://ga.dbpedia.org/resource/Sacramento,k
http://af.dbpedia.org/resource/Sacramento,"http://gd.dbpedia.org/resource/Sacramento,_California",k
http://af.dbpedia.org/resource/Sacramento,"http://gl.dbpedia.org/resource/Sacramento,_California",k
http://af.dbpedia.org/resource/Sacramento,http://he.dbpedia.org/resource/סקרמנטו,k
http://af.dbpedia.org/resource/Sacramento,"http://hi.dbpedia.org/resource/सैक्रामेण्टो,_कैलिफ़ोर्निया",k
http://af.dbpedia.org/resource/Sacramento,"http://hr.dbpedia.org/resource/Sacramento,_Kalifornija",k
