SUBJECT,OBJECT
http://af.dbpedia.org/resource/Aarbei,http://an.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://ar.dbpedia.org/resource/شليك
http://af.dbpedia.org/resource/Aarbei,http://az.dbpedia.org/resource/Çiyələk
http://af.dbpedia.org/resource/Aarbei,http://be-x-old.dbpedia.org/resource/Суніцы
http://af.dbpedia.org/resource/Aarbei,http://be.dbpedia.org/resource/Суніцы
http://af.dbpedia.org/resource/Aarbei,http://bg.dbpedia.org/resource/Ягода
http://af.dbpedia.org/resource/Aarbei,http://bs.dbpedia.org/resource/Jagoda
http://af.dbpedia.org/resource/Aarbei,http://ca.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://cs.dbpedia.org/resource/Jahodník
http://af.dbpedia.org/resource/Aarbei,http://da.dbpedia.org/resource/Jordbær-slægten
http://af.dbpedia.org/resource/Aarbei,http://dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://de.dbpedia.org/resource/Erdbeeren
http://af.dbpedia.org/resource/Aarbei,http://el.dbpedia.org/resource/Φράουλα
http://af.dbpedia.org/resource/Aarbei,http://eo.dbpedia.org/resource/Frago
http://af.dbpedia.org/resource/Aarbei,http://es.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://et.dbpedia.org/resource/Maasikas
http://af.dbpedia.org/resource/Aarbei,http://eu.dbpedia.org/resource/Marrubi
http://af.dbpedia.org/resource/Aarbei,http://fa.dbpedia.org/resource/توت‌فرنگی_(سرده)
http://af.dbpedia.org/resource/Aarbei,http://fa.dbpedia.org/resource/گیاه_توت‌فرنگی
http://af.dbpedia.org/resource/Aarbei,http://fi.dbpedia.org/resource/Mansikat
http://af.dbpedia.org/resource/Aarbei,http://fr.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://ga.dbpedia.org/resource/Sú_talún
http://af.dbpedia.org/resource/Aarbei,http://gl.dbpedia.org/resource/Amorodeira
http://af.dbpedia.org/resource/Aarbei,http://he.dbpedia.org/resource/תות_שדה
http://af.dbpedia.org/resource/Aarbei,http://hr.dbpedia.org/resource/Jagoda
http://af.dbpedia.org/resource/Aarbei,http://ht.dbpedia.org/resource/Frèz
http://af.dbpedia.org/resource/Aarbei,http://hu.dbpedia.org/resource/Szamóca
http://af.dbpedia.org/resource/Aarbei,http://id.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://is.dbpedia.org/resource/Jarðarber
http://af.dbpedia.org/resource/Aarbei,http://it.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://ja.dbpedia.org/resource/イチゴ
http://af.dbpedia.org/resource/Aarbei,http://ja.dbpedia.org/resource/オランダイチゴ属
http://af.dbpedia.org/resource/Aarbei,http://jv.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://jv.dbpedia.org/resource/Stroberi
http://af.dbpedia.org/resource/Aarbei,http://ka.dbpedia.org/resource/მარწყვი
http://af.dbpedia.org/resource/Aarbei,http://kk.dbpedia.org/resource/Бүлдірген
http://af.dbpedia.org/resource/Aarbei,http://ko.dbpedia.org/resource/딸기
http://af.dbpedia.org/resource/Aarbei,http://ko.dbpedia.org/resource/딸기속
http://af.dbpedia.org/resource/Aarbei,http://la.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://lt.dbpedia.org/resource/Žemuogė
http://af.dbpedia.org/resource/Aarbei,http://lv.dbpedia.org/resource/Zemenes
http://af.dbpedia.org/resource/Aarbei,http://ms.dbpedia.org/resource/Pokok_Strawberi
http://af.dbpedia.org/resource/Aarbei,http://nl.dbpedia.org/resource/Aardbei
http://af.dbpedia.org/resource/Aarbei,http://nn.dbpedia.org/resource/Jordbærslekta
http://af.dbpedia.org/resource/Aarbei,http://no.dbpedia.org/resource/Jordbær
http://af.dbpedia.org/resource/Aarbei,http://oc.dbpedia.org/resource/Fragaria
http://af.dbpedia.org/resource/Aarbei,http://pl.dbpedia.org/resource/Poziomka
http://af.dbpedia.org/resource/Aarbei,http://pt.dbpedia.org/resource/Morangueiro
