SUBJECT,OBJECT,LABEL
http://af.dbpedia.org/resource/Aarbei,http://an.dbpedia.org/resource/Fragaria,k
http://af.dbpedia.org/resource/Aarbei,http://ar.dbpedia.org/resource/شليك,k
http://af.dbpedia.org/resource/Aarbei,http://az.dbpedia.org/resource/Çiyələk,k
http://af.dbpedia.org/resource/Aarbei,http://be-x-old.dbpedia.org/resource/Суніцы,k
http://af.dbpedia.org/resource/Aarbei,http://be.dbpedia.org/resource/Суніцы,k
http://af.dbpedia.org/resource/Aarbei,http://bg.dbpedia.org/resource/Ягода,k
http://af.dbpedia.org/resource/Aarbei,http://bs.dbpedia.org/resource/Jagoda,k
http://af.dbpedia.org/resource/Aarbei,http://ca.dbpedia.org/resource/Fragaria,k
http://af.dbpedia.org/resource/Aarbei,http://cs.dbpedia.org/resource/Jahodník,k
http://af.dbpedia.org/resource/Aarbei,http://da.dbpedia.org/resource/Jordbær-slægten,k
http://af.dbpedia.org/resource/Aarbei,http://dbpedia.org/resource/Fragaria,k
http://af.dbpedia.org/resource/Aarbei,http://de.dbpedia.org/resource/Erdbeeren,k
http://af.dbpedia.org/resource/Aarbei,http://el.dbpedia.org/resource/Φράουλα,k
http://af.dbpedia.org/resource/Aarbei,http://eo.dbpedia.org/resource/Frago,k
http://af.dbpedia.org/resource/Aarbei,http://es.dbpedia.org/resource/Fragaria,k
http://af.dbpedia.org/resource/Aarbei,http://et.dbpedia.org/resource/Maasikas,k
http://af.dbpedia.org/resource/Aarbei,http://eu.dbpedia.org/resource/Marrubi,k
http://af.dbpedia.org/resource/Aarbei,http://fa.dbpedia.org/resource/توت‌فرنگی_(سرده),k
http://af.dbpedia.org/resource/Aarbei,http://fa.dbpedia.org/resource/گیاه_توت‌فرنگی,k
http://af.dbpedia.org/resource/Aarbei,http://fi.dbpedia.org/resource/Mansikat,k
http://af.dbpedia.org/resource/Aarbei,http://fr.dbpedia.org/resource/Fragaria,k
http://af.dbpedia.org/resource/Aarbei,http://ga.dbpedia.org/resource/Sú_talún,k
http://af.dbpedia.org/resource/Aarbei,http://gl.dbpedia.org/resource/Amorodeira,k
