SUBJECT,OBJECT
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://ca.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://cs.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://de.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://es.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://fi.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://fr.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://gl.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://it.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://nn.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://pl.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://sv.dbpedia.org/resource/The_Magnetic_Fields
http://br.dbpedia.org/resource/The_Magnetic_Fields,http://www.wikidata.org/entity/Q32542
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://cs.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://de.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://es.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://fi.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://fr.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://gl.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://it.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://nn.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://pl.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://rdf.freebase.com/ns/m.0kp50
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://sv.dbpedia.org/resource/The_Magnetic_Fields
http://ca.dbpedia.org/resource/The_Magnetic_Fields,http://www.wikidata.org/entity/Q32542
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://cs.dbpedia.org/resource/The_Magnetic_Fields
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://dbpedia.org/resource/The_Magnetic_Fields
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://de.dbpedia.org/resource/The_Magnetic_Fields
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://es.dbpedia.org/resource/The_Magnetic_Fields
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://fr.dbpedia.org/resource/The_Magnetic_Fields
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://it.dbpedia.org/resource/The_Magnetic_Fields
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://pl.dbpedia.org/resource/The_Magnetic_Fields
http://commons.dbpedia.org/resource/Category:The_Magnetic_Fields,http://sv.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://de.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://es.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://fi.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://fr.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://gl.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://it.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://nn.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://pl.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://rdf.freebase.com/ns/m.0kp50
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://sv.dbpedia.org/resource/The_Magnetic_Fields
http://cs.dbpedia.org/resource/The_Magnetic_Fields,http://www.wikidata.org/entity/Q32542
http://dbpedia.org/resource/Magnetic_Fields_%28band%29,http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000008d4a0
http://dbpedia.org/resource/Magnetic_Fields_(band),http://rdf.freebase.com/ns/m.0kp50
http://dbpedia.org/resource/The_Magnetic_Fields,http://dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://de.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://es.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://fi.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://fr.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://gl.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://it.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://nn.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://pl.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://rdf.freebase.com/ns/m.0kp50
http://dbpedia.org/resource/The_Magnetic_Fields,http://sv.dbpedia.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://wikidata.dbpedia.org/resource/Q32542
http://dbpedia.org/resource/The_Magnetic_Fields,http://www.wikidata.org/entity/Q32542
http://dbpedia.org/resource/The_Magnetic_Fields,http://zitgist.com/music/artist/3ff72a59-f39d-411d-9f93-2d4a86413013
http://dbpedia.org/resource/The_Magnetic_Fields,http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000008d4a0
http://dbpedia.org/resource/The_Magnetic_Fields,http://rdf.freebase.com/ns/m/0kp50
http://dbpedia.org/resource/The_Magnetic_Fields,http://wikidata.org/entity/Q32542
http://dbpedia.org/resource/The_Magnetic_Fields,http://yago-knowledge.org/resource/The_Magnetic_Fields
http://dbpedia.org/resource/The_Magnetic_Fields,http://musicbrainz.org/artist/3ff72a59-f39d-411d-9f93-2d4a86413013#_
http://dbpedia.org/resource/The_Magnetic_Fields,http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/The_Magnetic_Fields
