SUBJECT,OBJECT
http://bg.dbpedia.org/resource/Kid_A,http://ca.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://cs.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://da.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://de.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://eo.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://es.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://fa.dbpedia.org/resource/کید_ای
http://bg.dbpedia.org/resource/Kid_A,http://fi.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://fr.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://gl.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://he.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://hu.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://hy.dbpedia.org/resource/Kid_A_(ալբոմ)
http://bg.dbpedia.org/resource/Kid_A,http://id.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://it.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://ja.dbpedia.org/resource/キッド_A
http://bg.dbpedia.org/resource/Kid_A,http://ka.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://ko.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://lv.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://nl.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://no.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://pl.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://pt.dbpedia.org/resource/Kid_A
http://bg.dbpedia.org/resource/Kid_A,http://rdf.freebase.com/ns/m.01h8hcb
http://bg.dbpedia.org/resource/Kid_A,http://ro.dbpedia.org/resource/Kid_A
