SUBJECT,OBJECT
http://af.dbpedia.org/resource/Led_Zeppelin,http://ar.dbpedia.org/resource/لد_زبلين
http://af.dbpedia.org/resource/Led_Zeppelin,http://az.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://be-x-old.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://be.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://bg.dbpedia.org/resource/Лед_Цепелин
http://af.dbpedia.org/resource/Led_Zeppelin,http://br.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://bs.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ca.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://cs.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://cv.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://cy.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://da.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://de.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://diq.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://el.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://eo.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://es.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://et.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://eu.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://fa.dbpedia.org/resource/لد_زپلین
http://af.dbpedia.org/resource/Led_Zeppelin,http://fi.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://fr.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ga.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://gd.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://gl.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://he.dbpedia.org/resource/לד_זפלין
http://af.dbpedia.org/resource/Led_Zeppelin,http://hr.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://hu.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://id.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://is.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://it.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ja.dbpedia.org/resource/レッド・ツェッペリン
http://af.dbpedia.org/resource/Led_Zeppelin,http://jv.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ka.dbpedia.org/resource/ლედ_ზეპელინი
http://af.dbpedia.org/resource/Led_Zeppelin,http://ko.dbpedia.org/resource/레드_제플린
http://af.dbpedia.org/resource/Led_Zeppelin,http://ku.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://la.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://lt.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://lv.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://mk.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ml.dbpedia.org/resource/ലെഡ്_സെപ്പലിൻ
http://af.dbpedia.org/resource/Led_Zeppelin,http://mr.dbpedia.org/resource/लेड_झेपेलिन
http://af.dbpedia.org/resource/Led_Zeppelin,http://ms.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://my.dbpedia.org/resource/Led_zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://new.dbpedia.org/resource/लेड_जेप्लिन
http://af.dbpedia.org/resource/Led_Zeppelin,http://nl.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://nn.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://no.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://oc.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://pl.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://pt.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ro.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ru.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://scn.dbpedia.org/resource/Led_Zeppelin_(gruppu)
http://af.dbpedia.org/resource/Led_Zeppelin,http://sco.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://sh.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://simple.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://sk.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://sl.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://sq.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://sr.dbpedia.org/resource/Лед_зепелин
http://af.dbpedia.org/resource/Led_Zeppelin,http://su.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://sv.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://sw.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://ta.dbpedia.org/resource/லெட்_செப்பெலின்
http://af.dbpedia.org/resource/Led_Zeppelin,http://th.dbpedia.org/resource/เลด_เซพเพลิน
http://af.dbpedia.org/resource/Led_Zeppelin,http://tr.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://tt.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://uk.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://uz.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://vi.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://wa.dbpedia.org/resource/Led_Zeppelin
http://af.dbpedia.org/resource/Led_Zeppelin,http://www.wikidata.org/entity/Q2331
http://af.dbpedia.org/resource/Led_Zeppelin,http://zh-yue.dbpedia.org/resource/齊柏林飛船
http://af.dbpedia.org/resource/Led_Zeppelin,http://zh.dbpedia.org/resource/齐柏林飞船_(乐团)
http://ar.dbpedia.org/resource/%D9%84%D8%AF_%D8%B2%D8%A8%D9%84%D9%8A%D9%86,http://ar.dbpedia.org/resource/لد_زبلين
http://ar.dbpedia.org/resource/لد_زبلين,http://az.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://be-x-old.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://be.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://bg.dbpedia.org/resource/Лед_Цепелин
http://ar.dbpedia.org/resource/لد_زبلين,http://br.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://bs.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://ca.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://commons.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://cs.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://cv.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://cy.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://da.dbpedia.org/resource/Led_Zeppelin
http://ar.dbpedia.org/resource/لد_زبلين,http://dbpedia.org/resource/Led_Zeppelin
