Entity	Annotation	Status	Provenance	link
http://af.dbpedia.org/resource/Aspirien				=hyperlink("http://af.dbpedia.org/resource/Aspirien")
http://dbpedia.org/resource/Aspirin				=hyperlink("http://dbpedia.org/resource/Aspirin")
http://ar.dbpedia.org/resource/%D8%A3%D8%B3%D8%A8%D8%B1%D9%8A%D9%86				=hyperlink("http://ar.dbpedia.org/resource/%D8%A3%D8%B3%D8%A8%D8%B1%D9%8A%D9%86")
http://ar.dbpedia.org/resource/أسبرين				=hyperlink("http://ar.dbpedia.org/resource/أسبرين")
http://ast.dbpedia.org/resource/Aspirina				=hyperlink("http://ast.dbpedia.org/resource/Aspirina")
http://az.dbpedia.org/resource/Asetilsalisilli_turşu				=hyperlink("http://az.dbpedia.org/resource/Asetilsalisilli_turşu")
http://bat-smg.dbpedia.org/resource/Eksperins				=hyperlink("http://bat-smg.dbpedia.org/resource/Eksperins")
http://be.dbpedia.org/resource/Ацэтылсаліцылавая_кіслата				=hyperlink("http://be.dbpedia.org/resource/Ацэтылсаліцылавая_кіслата")
http://bg.dbpedia.org/resource/Ацетилсалицилова_киселина				=hyperlink("http://bg.dbpedia.org/resource/Ацетилсалицилова_киселина")
http://bn.dbpedia.org/resource/অ্যাসপিরিন				=hyperlink("http://bn.dbpedia.org/resource/অ্যাসপিরিন")
http://bs.dbpedia.org/resource/Aspirin				=hyperlink("http://bs.dbpedia.org/resource/Aspirin")
http://ca.dbpedia.org/resource/Aspirina				=hyperlink("http://ca.dbpedia.org/resource/Aspirina")
http://ca.dbpedia.org/resource/Àcid_acetilsalicílic				=hyperlink("http://ca.dbpedia.org/resource/Àcid_acetilsalicílic")
http://ckb.dbpedia.org/resource/ئەسپیرین				=hyperlink("http://ckb.dbpedia.org/resource/ئەسپیرین")
http://commons.dbpedia.org/resource/Aspirin				=hyperlink("http://commons.dbpedia.org/resource/Aspirin")
http://cs.dbpedia.org/resource/Kyselina_acetylsalicylová				=hyperlink("http://cs.dbpedia.org/resource/Kyselina_acetylsalicylová")
http://da.dbpedia.org/resource/Acetylsalicylsyre				=hyperlink("http://da.dbpedia.org/resource/Acetylsalicylsyre")
http://de.dbpedia.org/resource/Acetylsalicylsäure				=hyperlink("http://de.dbpedia.org/resource/Acetylsalicylsäure")
http://el.dbpedia.org/resource/Ασπιρίνη				=hyperlink("http://el.dbpedia.org/resource/Ασπιρίνη")
http://eo.dbpedia.org/resource/Aspirino				=hyperlink("http://eo.dbpedia.org/resource/Aspirino")
http://es.dbpedia.org/resource/Ácido_acetilsalicílico				=hyperlink("http://es.dbpedia.org/resource/Ácido_acetilsalicílico")
http://et.dbpedia.org/resource/Aspiriin				=hyperlink("http://et.dbpedia.org/resource/Aspiriin")
http://eu.dbpedia.org/resource/Azido_azetilsaliziliko				=hyperlink("http://eu.dbpedia.org/resource/Azido_azetilsaliziliko")
http://fa.dbpedia.org/resource/استیل‌سالیسیلیک_اسید				=hyperlink("http://fa.dbpedia.org/resource/استیل‌سالیسیلیک_اسید")
http://fi.dbpedia.org/resource/Asetyylisalisyylihappo				=hyperlink("http://fi.dbpedia.org/resource/Asetyylisalisyylihappo")
http://fr.dbpedia.org/resource/Acide_acétylsalicylique				=hyperlink("http://fr.dbpedia.org/resource/Acide_acétylsalicylique")
http://ga.dbpedia.org/resource/Aspairín				=hyperlink("http://ga.dbpedia.org/resource/Aspairín")
http://gl.dbpedia.org/resource/Aspirina				=hyperlink("http://gl.dbpedia.org/resource/Aspirina")
http://he.dbpedia.org/resource/אספירין				=hyperlink("http://he.dbpedia.org/resource/אספירין")
http://hi.dbpedia.org/resource/एस्पिरिन				=hyperlink("http://hi.dbpedia.org/resource/एस्पिरिन")
http://hr.dbpedia.org/resource/Acetilsalicilna_kiselina				=hyperlink("http://hr.dbpedia.org/resource/Acetilsalicilna_kiselina")
http://ht.dbpedia.org/resource/Aspirin				=hyperlink("http://ht.dbpedia.org/resource/Aspirin")
http://hu.dbpedia.org/resource/Acetilszalicilsav				=hyperlink("http://hu.dbpedia.org/resource/Acetilszalicilsav")
