SUBJECT,OBJECT
http://an.dbpedia.org/resource/Categor%C3%ADa:Politica_de_Chap%C3%B3n,http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://ar.dbpedia.org/resource/تصنيف:سياسة_اليابان
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://ast.dbpedia.org/resource/Categoría:Política_de_Xapón
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://az.dbpedia.org/resource/Kateqoriya:Yaponiyada_siyasət
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://be-x-old.dbpedia.org/resource/Катэгорыя:Японская_палітыка
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://bg.dbpedia.org/resource/Категория:Политика_на_Япония
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://br.dbpedia.org/resource/Rummad:Politikerezh_Japan
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://bs.dbpedia.org/resource/Kategorija:Politika_Japana
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://ca.dbpedia.org/resource/Categoria:Política_del_Japó
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://cs.dbpedia.org/resource/Kategorie:Japonská_politika
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://cy.dbpedia.org/resource/Categori:Gwleidyddiaeth_Japan
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://da.dbpedia.org/resource/Kategori:Japans_politik
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://dbpedia.org/resource/Category:Politics_of_Japan
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://de.dbpedia.org/resource/Kategorie:Politik_(Japan)
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://eo.dbpedia.org/resource/Kategorio:Politiko_de_Japanio
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://es.dbpedia.org/resource/Categoría:Política_de_Japón
http://an.dbpedia.org/resource/Categoría:Politica_de_Chapón,http://eu.dbpedia.org/resource/Kategoria:Japoniako_politika
