SUBJECT,OBJECT
http://af.dbpedia.org/resource/Dag,http://als.dbpedia.org/resource/Tag
http://af.dbpedia.org/resource/Dag,http://am.dbpedia.org/resource/ቀን
http://af.dbpedia.org/resource/Dag,http://an.dbpedia.org/resource/Día
http://af.dbpedia.org/resource/Dag,http://ar.dbpedia.org/resource/يوم
http://af.dbpedia.org/resource/Dag,http://arz.dbpedia.org/resource/يوم
http://af.dbpedia.org/resource/Dag,http://ast.dbpedia.org/resource/Día
http://af.dbpedia.org/resource/Dag,http://az.dbpedia.org/resource/Sutka
http://af.dbpedia.org/resource/Dag,http://ba.dbpedia.org/resource/Тәүлек
http://af.dbpedia.org/resource/Dag,http://bat-smg.dbpedia.org/resource/Para
http://af.dbpedia.org/resource/Dag,http://be-x-old.dbpedia.org/resource/Дзень
http://af.dbpedia.org/resource/Dag,http://be.dbpedia.org/resource/Суткі
http://af.dbpedia.org/resource/Dag,http://bg.dbpedia.org/resource/Ден
http://af.dbpedia.org/resource/Dag,http://bn.dbpedia.org/resource/দিন
http://af.dbpedia.org/resource/Dag,http://br.dbpedia.org/resource/Deiz
http://af.dbpedia.org/resource/Dag,http://bs.dbpedia.org/resource/Dan
http://af.dbpedia.org/resource/Dag,http://ca.dbpedia.org/resource/Dia
http://af.dbpedia.org/resource/Dag,http://ckb.dbpedia.org/resource/ڕۆژ
http://af.dbpedia.org/resource/Dag,http://cs.dbpedia.org/resource/Den
http://af.dbpedia.org/resource/Dag,http://cv.dbpedia.org/resource/Кун
http://af.dbpedia.org/resource/Dag,http://cy.dbpedia.org/resource/Diwrnod
http://af.dbpedia.org/resource/Dag,http://da.dbpedia.org/resource/Dag
http://af.dbpedia.org/resource/Dag,http://dbpedia.org/resource/Day
http://af.dbpedia.org/resource/Dag,http://de.dbpedia.org/resource/Tag
http://af.dbpedia.org/resource/Dag,http://diq.dbpedia.org/resource/Roce_(zeman)
http://af.dbpedia.org/resource/Dag,http://el.dbpedia.org/resource/Ημέρα
http://af.dbpedia.org/resource/Dag,http://eo.dbpedia.org/resource/Tago
http://af.dbpedia.org/resource/Dag,http://es.dbpedia.org/resource/Día
http://af.dbpedia.org/resource/Dag,http://et.dbpedia.org/resource/Ööpäev
http://af.dbpedia.org/resource/Dag,http://eu.dbpedia.org/resource/Egun
http://af.dbpedia.org/resource/Dag,http://fa.dbpedia.org/resource/روز
http://af.dbpedia.org/resource/Dag,http://fi.dbpedia.org/resource/Vuorokausi
http://af.dbpedia.org/resource/Dag,http://fr.dbpedia.org/resource/Jour
http://af.dbpedia.org/resource/Dag,http://fy.dbpedia.org/resource/Dei
http://af.dbpedia.org/resource/Dag,http://ga.dbpedia.org/resource/Lá
http://af.dbpedia.org/resource/Dag,http://gd.dbpedia.org/resource/Là
http://af.dbpedia.org/resource/Dag,http://gl.dbpedia.org/resource/Día
http://af.dbpedia.org/resource/Dag,http://gu.dbpedia.org/resource/દિવસ
http://af.dbpedia.org/resource/Dag,http://he.dbpedia.org/resource/יממה
http://af.dbpedia.org/resource/Dag,http://hi.dbpedia.org/resource/दिन
http://af.dbpedia.org/resource/Dag,http://hif.dbpedia.org/resource/Din
http://af.dbpedia.org/resource/Dag,http://hr.dbpedia.org/resource/Dan
http://af.dbpedia.org/resource/Dag,http://ht.dbpedia.org/resource/Jou_(Tan)
http://af.dbpedia.org/resource/Dag,http://hu.dbpedia.org/resource/Nap_(időegység)
http://af.dbpedia.org/resource/Dag,http://hy.dbpedia.org/resource/Օր
http://af.dbpedia.org/resource/Dag,http://ia.dbpedia.org/resource/Die
http://af.dbpedia.org/resource/Dag,http://id.dbpedia.org/resource/Hari
http://af.dbpedia.org/resource/Dag,http://is.dbpedia.org/resource/Dagur_(tímatal)
http://af.dbpedia.org/resource/Dag,http://it.dbpedia.org/resource/Giorno
http://af.dbpedia.org/resource/Dag,http://ja.dbpedia.org/resource/日
http://af.dbpedia.org/resource/Dag,http://jv.dbpedia.org/resource/Dina
http://af.dbpedia.org/resource/Dag,http://ka.dbpedia.org/resource/დღე-ღამე
http://af.dbpedia.org/resource/Dag,http://kk.dbpedia.org/resource/Тәулік
http://af.dbpedia.org/resource/Dag,http://kn.dbpedia.org/resource/ದಿನ
http://af.dbpedia.org/resource/Dag,http://ko.dbpedia.org/resource/날
http://af.dbpedia.org/resource/Dag,http://ku.dbpedia.org/resource/Roj_(dem)
http://af.dbpedia.org/resource/Dag,http://la.dbpedia.org/resource/Dies
http://af.dbpedia.org/resource/Dag,http://lmo.dbpedia.org/resource/Dì
http://af.dbpedia.org/resource/Dag,http://lt.dbpedia.org/resource/Para
http://af.dbpedia.org/resource/Dag,http://lv.dbpedia.org/resource/Diena
http://af.dbpedia.org/resource/Dag,http://mk.dbpedia.org/resource/Ден
http://af.dbpedia.org/resource/Dag,http://ml.dbpedia.org/resource/ദിവസം
http://af.dbpedia.org/resource/Dag,http://mr.dbpedia.org/resource/दिवस
http://af.dbpedia.org/resource/Dag,http://ms.dbpedia.org/resource/Hari
http://af.dbpedia.org/resource/Dag,http://nds.dbpedia.org/resource/Dag
http://af.dbpedia.org/resource/Dag,http://ne.dbpedia.org/resource/दिन
http://af.dbpedia.org/resource/Dag,http://new.dbpedia.org/resource/दिं
http://af.dbpedia.org/resource/Dag,http://nl.dbpedia.org/resource/Dag
http://af.dbpedia.org/resource/Dag,http://nn.dbpedia.org/resource/Dag
http://af.dbpedia.org/resource/Dag,http://no.dbpedia.org/resource/Dag
http://af.dbpedia.org/resource/Dag,http://oc.dbpedia.org/resource/Jorn
http://af.dbpedia.org/resource/Dag,http://pl.dbpedia.org/resource/Doba
http://af.dbpedia.org/resource/Dag,http://pnb.dbpedia.org/resource/دن
