SUBJECT,OBJECT
http://ar.dbpedia.org/resource/%D8%B9%D8%B1%D9%88%D9%82_%D8%A7%D9%84%D8%B5%D8%A8%D8%A7%D8%BA%D9%8A%D9%86,http://ar.dbpedia.org/resource/عروق_الصباغين
http://ar.dbpedia.org/resource/عروق_الصباغين,http://az.dbpedia.org/resource/Böyük_dəmrovotu
http://ar.dbpedia.org/resource/عروق_الصباغين,http://az.dbpedia.org/resource/Dəmrovotu
http://ar.dbpedia.org/resource/عروق_الصباغين,http://ba.dbpedia.org/resource/Сөйәл_үләне
http://ar.dbpedia.org/resource/عروق_الصباغين,http://be.dbpedia.org/resource/Падтыннік_вялікі
http://ar.dbpedia.org/resource/عروق_الصباغين,http://bg.dbpedia.org/resource/Змийско_мляко
http://ar.dbpedia.org/resource/عروق_الصباغين,http://ca.dbpedia.org/resource/Celidònia
http://ar.dbpedia.org/resource/عروق_الصباغين,http://commons.dbpedia.org/resource/Chelidonium_majus
http://ar.dbpedia.org/resource/عروق_الصباغين,http://cs.dbpedia.org/resource/Vlaštovičník_větší
http://ar.dbpedia.org/resource/عروق_الصباغين,http://dbpedia.org/resource/Chelidonium
http://ar.dbpedia.org/resource/عروق_الصباغين,http://de.dbpedia.org/resource/Schöllkraut
http://ar.dbpedia.org/resource/عروق_الصباغين,http://eo.dbpedia.org/resource/Kelidonio
http://ar.dbpedia.org/resource/عروق_الصباغين,http://es.dbpedia.org/resource/Chelidonium_majus
http://ar.dbpedia.org/resource/عروق_الصباغين,http://et.dbpedia.org/resource/Harilik_vereurmarohi
http://ar.dbpedia.org/resource/عروق_الصباغين,http://eu.dbpedia.org/resource/Zaran-belar
http://ar.dbpedia.org/resource/عروق_الصباغين,http://fi.dbpedia.org/resource/Keltamo
http://ar.dbpedia.org/resource/عروق_الصباغين,http://fr.dbpedia.org/resource/Chelidonium_majus
http://ar.dbpedia.org/resource/عروق_الصباغين,http://hr.dbpedia.org/resource/Rosopas
http://ar.dbpedia.org/resource/عروق_الصباغين,http://hu.dbpedia.org/resource/Vérehulló_fecskefű
http://ar.dbpedia.org/resource/عروق_الصباغين,http://hy.dbpedia.org/resource/Կանթեղախոտ
http://ar.dbpedia.org/resource/عروق_الصباغين,http://it.dbpedia.org/resource/Chelidonium_majus
http://ar.dbpedia.org/resource/عروق_الصباغين,http://ja.dbpedia.org/resource/クサノオウ
http://ar.dbpedia.org/resource/عروق_الصباغين,http://ka.dbpedia.org/resource/ქრისტესისხლა
http://ar.dbpedia.org/resource/عروق_الصباغين,http://ko.dbpedia.org/resource/애기똥풀
http://ar.dbpedia.org/resource/عروق_الصباغين,http://lt.dbpedia.org/resource/Didžioji_ugniažolė
http://ar.dbpedia.org/resource/عروق_الصباغين,http://lv.dbpedia.org/resource/Lielā_strutene
