SUBJECT,OBJECT
http://dbpedia.org/resource/Super_Hits,http://fr.dbpedia.org/resource/Super_Hits
http://dbpedia.org/resource/Super_Hits,http://it.dbpedia.org/resource/Super_Hits
http://dbpedia.org/resource/Super_Hits,http://pt.dbpedia.org/resource/Super_Hits
http://dbpedia.org/resource/Super_Hits,http://wikidata.dbpedia.org/resource/Q1206964
http://dbpedia.org/resource/Super_Hits,http://www.wikidata.org/entity/Q1206964
http://dbpedia.org/resource/Super_Hits,http://wikidata.org/entity/Q1206964
http://dbpedia.org/resource/Super_Hits_(2004_Pam_Tillis_album),http://dbtune.org/musicbrainz/resource/record/0048daa7-3b1e-46c7-a625-32a8db9a60e4
http://dbpedia.org/resource/Super_Hits_(2004_Pam_Tillis_album),http://mpii.de/yago/resource/Super_Hits_(2004_Pam_Tillis_album)
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://no.dbpedia.org/resource/Super_Hits
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://rdf.freebase.com/ns/m.02vt8d8
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://wikidata.dbpedia.org/resource/Q12004039
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://www.wikidata.org/entity/Q12004039
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://dbtune.org/musicbrainz/resource/record/0048daa7-3b1e-46c7-a625-32a8db9a60e4
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://wikidata.org/entity/Q12004039
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://yago-knowledge.org/resource/Super_Hits_(Alan_Jackson_album)
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://mpii.de/yago/resource/Super_Hits_%28Alan_Jackson_album%29
http://dbpedia.org/resource/Super_Hits_(Alan_Jackson_album),http://mpii.de/yago/resource/Super_Hits_(Alan_Jackson_album)
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album)
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://fr.dbpedia.org/resource/Super_Hits
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://fr.dbpedia.org/resource/Super_Hits_(album_d'Alice_Cooper)
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://rdf.freebase.com/ns/m.0bdf1k
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://wikidata.dbpedia.org/resource/Q3504199
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://www.wikidata.org/entity/Q3504199
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://dbtune.org/musicbrainz/resource/record/0048daa7-3b1e-46c7-a625-32a8db9a60e4
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://wikidata.org/entity/Q3504199
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://yago-knowledge.org/resource/Super_Hits_(Alice_Cooper_album)
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://zitgist.com/music/record/40b1ac8b-a2c2-43e1-b387-f36c01c78cdf
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://mpii.de/yago/resource/Super_Hits_%28Alice_Cooper_album%29
http://dbpedia.org/resource/Super_Hits_(Alice_Cooper_album),http://mpii.de/yago/resource/Super_Hits_(Alice_Cooper_album)
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://it.dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite)
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://wikidata.dbpedia.org/resource/Q3977570
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://www.wikidata.org/entity/Q3977570
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://dbtune.org/musicbrainz/resource/record/0048daa7-3b1e-46c7-a625-32a8db9a60e4
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://rdf.freebase.com/ns/m.03ccryn
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://wikidata.org/entity/Q3977570
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://yago-knowledge.org/resource/Super_Hits_(Big_Audio_Dynamite_album)
http://dbpedia.org/resource/Super_Hits_(Big_Audio_Dynamite_album),http://mpii.de/yago/resource/Super_Hits_(Big_Audio_Dynamite_album)
http://dbpedia.org/resource/Super_Hits_(Blue_%C3%96yster_Cult_album),http://dbtune.org/musicbrainz/resource/record/0048daa7-3b1e-46c7-a625-32a8db9a60e4
http://dbpedia.org/resource/Super_Hits_(Brooks_&_Dunn_album),http://rdf.freebase.com/ns/m.04n2zbf
http://dbpedia.org/resource/Super_Hits_(Brooks_&_Dunn_album),http://wikidata.dbpedia.org/resource/Q7642413
http://dbpedia.org/resource/Super_Hits_(Brooks_&_Dunn_album),http://www.wikidata.org/entity/Q7642413
http://dbpedia.org/resource/Super_Hits_(Brooks_&_Dunn_album),http://dbtune.org/musicbrainz/resource/record/0048daa7-3b1e-46c7-a625-32a8db9a60e4
